year,program,artist
2022,NHK紅白歌合戦,福山雅治
2023,NHK紅白歌合戦,新しい学校のリーダーズ
2023,NHK紅白歌合戦,JO1
2023,NHK紅白歌合戦,鈴木雅之
2023,NHK紅白歌合戦,Stray Kids[• 2]
2023,NHK紅白歌合戦,Perfume[• 2]
2023,NHK紅白歌合戦,すとぷり[• 3]
2023,NHK紅白歌合戦,天童よしみ[• 4]
2023,NHK紅白歌合戦,キタニタツヤ
2023,NHK紅白歌合戦,緑黄色社会
2023,NHK紅白歌合戦,櫻坂46[• 2][• 5]
2023,NHK紅白歌合戦,純烈
2023,NHK紅白歌合戦,ano
2023,NHK紅白歌合戦,BE:FIRST[• 2]
2023,NHK紅白歌合戦,JUJU
2023,NHK紅白歌合戦,NiziU
2023,NHK紅白歌合戦,LE SSERAFIM
2023,NHK紅白歌合戦,山内惠介[• 8]
2023,NHK紅白歌合戦,乃木坂46[• 9]
2023,NHK紅白歌合戦,郷ひろみ
2023,NHK紅白歌合戦,milet × MAN WITH A MISSION[• 2]
2023,NHK紅白歌合戦,MAN WITH A MISSION × milet[• 2]
2023,NHK紅白歌合戦,SEVENTEEN[• 10]
2023,NHK紅白歌合戦,水森かおり[• 11]
2023,NHK紅白歌合戦,ハマいく
2023,NHK紅白歌合戦,大泉洋
2023,NHK紅白歌合戦,Mrs. GREEN APPLE
2023,NHK紅白歌合戦,坂本冬美
2023,NHK紅白歌合戦,MISAMO
2023,NHK紅白歌合戦,10-FEET
2023,NHK紅白歌合戦,NewJeans[• 15]
2023,NHK紅白歌合戦,橋本環奈、浜辺美波
2023,NHK紅白歌合戦,大泉洋、大森元貴、LE SSERAFIM
2023,NHK紅白歌合戦,山寺宏一、櫻坂46、Stray Kids
2023,NHK紅白歌合戦,生田絵梨花
2023,NHK紅白歌合戦,紅白有志の皆さん[• 18]
2023,NHK紅白歌合戦,Official髭男dism[• 15]
2023,NHK紅白歌合戦,椎名林檎
2023,NHK紅白歌合戦,ゆず
2023,NHK紅白歌合戦,クイーン+アダム・ランバート[• 22]
2023,NHK紅白歌合戦,三山ひろし
2023,NHK紅白歌合戦,星野源[• 23]
2023,NHK紅白歌合戦,Superfly
2023,NHK紅白歌合戦,伊藤蘭[• 15]
2023,NHK紅白歌合戦,YOSHIKI
2023,NHK紅白歌合戦,ポケットビスケッツ&ブラックビスケッツ[• 15]
2023,NHK紅白歌合戦,薬師丸ひろ子[• 15]
2023,NHK紅白歌合戦,寺尾聰
2023,NHK紅白歌合戦,Ado[• 31]
2023,NHK紅白歌合戦,エレファントカシマシ
2023,NHK紅白歌合戦,あいみょん
2023,NHK紅白歌合戦,さだまさし[• 34]
2023,NHK紅白歌合戦,石川さゆり
2023,NHK紅白歌合戦,藤井フミヤ
2023,NHK紅白歌合戦,有吉弘行×藤井フミヤ
2023,NHK紅白歌合戦,YOASOBI
2023,NHK紅白歌合戦,福山雅治
2023,NHK紅白歌合戦,MISIA
2024,NHK紅白歌合戦,紅白出演者有志
2024,NHK紅白歌合戦,ME:I
2024,NHK紅白歌合戦,天童よしみ
2024,NHK紅白歌合戦,こっちのけんと
2024,NHK紅白歌合戦,Omoinotake
2024,NHK紅白歌合戦,Da-iCE
2024,NHK紅白歌合戦,ILLIT
2024,NHK紅白歌合戦,緑黄色社会
2024,NHK紅白歌合戦,ILLIT[• 2]、Number_i、ME:I[• 3]
2024,NHK紅白歌合戦,有吉弘行、橋本環奈、伊藤沙莉
2024,NHK紅白歌合戦,MISIA
2024,NHK紅白歌合戦,有吉弘行、橋本環奈、伊藤沙莉、 花田ゆういちろう、ながたまや、秋元杏月、 佐久本和夢、じゃじゃまる、ぴっころ、ぽろり、 スプー、みもも、やころ、ルチータ
2024,NHK紅白歌合戦,紅白出演者有志[• 4]
2024,NHK紅白歌合戦,新浜レオン
2024,NHK紅白歌合戦,櫻坂46
2024,NHK紅白歌合戦,JO1
2024,NHK紅白歌合戦,山内惠介
2024,NHK紅白歌合戦,HY
2024,NHK紅白歌合戦,乃木坂46
2024,NHK紅白歌合戦,純烈[• 7]
2024,NHK紅白歌合戦,LE SSERAFIM
2024,NHK紅白歌合戦,tuki.
2024,NHK紅白歌合戦,BE:FIRST
2024,NHK紅白歌合戦,TOMORROW X TOGETHER
2024,NHK紅白歌合戦,水森かおり[• 9]
2024,NHK紅白歌合戦,aiko
2024,NHK紅白歌合戦,郷ひろみ
2024,NHK紅白歌合戦,Creepy Nuts
2024,NHK紅白歌合戦,Da-iCE、ME:I[• 11]
2024,NHK紅白歌合戦,乃木坂46
2024,NHK紅白歌合戦,大森元貴、SAKURA
2024,NHK紅白歌合戦,紅白出演者有志[• 13]
2024,NHK紅白歌合戦,GLAY
2024,NHK紅白歌合戦,坂本冬美[• 14]
2024,NHK紅白歌合戦,Vaundy
2024,NHK紅白歌合戦,椎名林檎ともも
2024,NHK紅白歌合戦,星野源
2024,NHK紅白歌合戦,Superfly
2024,NHK紅白歌合戦,TWICE
2024,NHK紅白歌合戦,Number_i
2024,NHK紅白歌合戦,B'z
2024,NHK紅白歌合戦,B'z
2024,NHK紅白歌合戦,B'z
2024,NHK紅白歌合戦,藤井風[• 19]
2024,NHK紅白歌合戦,三山ひろし
2024,NHK紅白歌合戦,あいみょん
2024,NHK紅白歌合戦,南こうせつ
2024,NHK紅白歌合戦,イルカ
2024,NHK紅白歌合戦,竹下景子・武田鉄矢・田中健・松崎しげる
2024,NHK紅白歌合戦,西野カナ
2024,NHK紅白歌合戦,Mrs. GREEN APPLE
2024,NHK紅白歌合戦,氷川きよし
2024,NHK紅白歌合戦,THE ALFEE
2024,NHK紅白歌合戦,髙橋真梨子
2024,NHK紅白歌合戦,米津玄師[• 27]
2024,NHK紅白歌合戦,石川さゆり
2024,NHK紅白歌合戦,玉置浩二
2024,NHK紅白歌合戦,福山雅治
2024,NHK紅白歌合戦,MISIA
