year,program,artist,appearances,song
2021,NHK紅白歌合戦,宮本浩次 [• 12],2,夜明けのうた
2021,NHK紅白歌合戦,乃木坂46,7,きっかけ
2021,NHK紅白歌合戦,細川たかし,40,望郷じょんから
2021,NHK紅白歌合戦,細川たかし,40,北酒場
2021,NHK紅白歌合戦,坂本冬美 [• 1],33,夜桜お七
2021,NHK紅白歌合戦,藤井風 [• 15],1,きらり[• 16]
2021,NHK紅白歌合戦,YOASOBI [• 2],2,群青
2021,NHK紅白歌合戦,鈴木雅之,4,め組のひと 2021紅白ver. [• 18]
2021,NHK紅白歌合戦,ゆず,12,虹
2021,NHK紅白歌合戦,星野源 [• 19],7,不思議
2021,NHK紅白歌合戦,あいみょん,3,愛を知るまでは
2021,NHK紅白歌合戦,BUMP OF CHICKEN [• 20],2,なないろ[• 21]
2021,NHK紅白歌合戦,さだまさし,21,道化師のソネット[• 23]
2021,NHK紅白歌合戦,東京事変,2,緑酒
2021,NHK紅白歌合戦,薬師丸ひろ子 [• 25],2,"Woman ""Wの悲劇""より"
2021,NHK紅白歌合戦,石川さゆり,44,"火事と喧嘩は江戸の華（feat. KREVA, MIYAVI）"
2021,NHK紅白歌合戦,石川さゆり,44,津軽海峡・冬景色
2021,NHK紅白歌合戦,氷川きよし,22,歌は我が命
2021,NHK紅白歌合戦,布袋寅泰 [• 1],1,さらば青春の光 ＜紅白SP＞[• 26]
2021,NHK紅白歌合戦,福山雅治,14,道標 〜紅白2021ver.〜
2021,NHK紅白歌合戦,MISIA,6,明日へ 2021 [• 27]
2022,NHK紅白歌合戦,SixTONES,3,Good Luck!
2022,NHK紅白歌合戦,天童よしみ,27,ソーラン祭り節
2022,NHK紅白歌合戦,緑黄色社会,1,Mela!
2022,NHK紅白歌合戦,郷ひろみ,35,GO!GO!50周年!!SPメドレー[• 2]
2022,NHK紅白歌合戦,なにわ男子,1,初心LOVE（うぶらぶ）
2022,NHK紅白歌合戦,水森かおり,20,九十九里浜〜謎解き紅白スペシャル〜
2022,NHK紅白歌合戦,LE SSERAFIM[• 4],1,FEARLESS -Japanese ver.-
2022,NHK紅白歌合戦,Saucy Dog,1,シンデレラボーイ
2022,NHK紅白歌合戦,山内惠介,8,恋する街角〜きつねダンスRemix〜
2022,NHK紅白歌合戦,日向坂46,4,キツネ
2022,NHK紅白歌合戦,JO1,1,無限大
2022,NHK紅白歌合戦,milet,3,Fly High
2022,NHK紅白歌合戦,NiziU,3,CLAP CLAP
2022,NHK紅白歌合戦,鈴木雅之,5,違う、そうじゃない
2022,NHK紅白歌合戦,BE:FIRST,1,Shining One
2022,NHK紅白歌合戦,SEKAI NO OWARI,6,Habit
