year,program,artist,appearances,song,tags,type,origin,associated_acts,members
2022,ミュージックステーションスーパーライブ,KinKi Kids,,,"J-POP, ダンス・ポップ",Group,日本,"プロデューサー, 山下達郎, 吉田拓郎, 藤島ジュリー景子, 堂島孝平, コンサートマスター, 吉田建","堂本光一, 堂本剛"
2022,ミュージックステーションスーパーライブ,King Gnu,,,"J-POP, ミクスチャー・ロック, オルタナティヴ・ロック, サイケデリック・ロック, ヒップホップ, ジャズ, クラシック",Group,"日本, 東京都",,"常田大希, （, ギター, ・, ボーカル, ）, 勢喜遊, （, ドラムス, ・, サンプラー, ）, 新井和輝, （, ベース, ・, シンセベース, ）, 井口理, （ボーカル・, キーボード, ）"
2022,ミュージックステーションスーパーライブ,Kis-My-Ft2,,,J-POP,男性グループ,日本,,"千賀健永, 宮田俊哉, 横尾渉, 藤ヶ谷太輔, 玉森裕太, 二階堂高嗣"
2022,ミュージックステーションスーパーライブ,Little Glee Monster,,,J-POP,Group,日本,,"かれん（古賀かれん）, MAYU（吉田真悠）, アサヒ（小林あさひ）, ミカ（藤平美香）, 結海（永井結海）, miyou（カマラみゆアイダ）"
2022,ミュージックステーションスーパーライブ,MIYAVI,,,"ロック, ミクスチャー・ロック, オルタナティブ・ロック, デジタルロック",maleソロ,"日本, ・, 兵庫県, 猪名川町","Dué le quartz, KAVKI BOIZ, S.K.I.N., THE LAST ROCKSTARS, 亀田誠治, （, 2012年, - ）",
2022,ミュージックステーションスーパーライブ,Mirage Collective,,,"R&B, ソウル",Group,日本,,"STUTS, （, サンプラー, ）, YONCE, （, ボーカル, ）, butaji（, コーラス, ）, 長岡亮介, （, ギター, ）, ハマ・オカモト, （, ベース, ）, 荒田洸（, ドラムス, ）, 高橋佑成（, ローズピアノ, ）, 武嶋聡, （, サックス, ・, フルート, ）, 佐瀬悠輔（, トランペット, ）, 大田垣""OTG""正信（, トロンボーン, ）, 須原杏（, ヴァイオリン, ）, 林田順平（, チェロ, ）"
2022,ミュージックステーションスーパーライブ,Mrs. GREEN APPLE,,,"J-POP, ポップ・ロック, ダンス, ロック",Group,日本,"中西亮輔, 伊藤賢, 高橋諒, 山下洋介","大森元貴, （, ボーカル, ・, ギター, ）, 若井滉斗（ギター）, 藤澤涼架（, キーボード, ）"
2022,ミュージックステーションスーパーライブ,NEWS,,,"J-POP, バンド",Group,Tokyo,,
2022,ミュージックステーションスーパーライブ,NiziU,,,"J-POP, K-POP",Group,日本,"ソニー・ミュージックエンタテインメント, J.Y. Park","MAKO, RIO, MAYA, RIKU, AYAKA, MAYUKA, RIMA, MIIHI, NINA"
2022,ミュージックステーションスーパーライブ,PUFFY,,,"オルタナティヴ・ロック, インディー・ロック, 渋谷系, J-POP",女性グループ,日本,"奥田民生, アンディ・スターマー","大貫亜美, （, ボーカル, ）, 吉村由美, （ボーカル）"
2022,ミュージックステーションスーパーライブ,Perfume,,,"J-POP, テクノ歌謡, テクノポップ, エレクトロニカ, フューチャーポップ, EDM, チップチューン, テクノ, シンセポップ, ハウス, エレクトロ・ポップ, フューチャー・ベース",Group,"日本, 広島県","中田ヤスタカ, MIKIKO","樫野有香, （かしゆか）, 西脇綾香, （あ〜ちゃん）, 大本彩乃, （のっち）"
2022,ミュージックステーションスーパーライブ,SEKAI NO OWARI,,,"J-POP, インディー・ポップ, スタジアム・ロック, EDM, ジャズ",Group,"日本, 東京都, 大田区","CHRYSANTHEMUM BRIDGE, 小林武史","Nakajin, （, ギター, ）, Fukase, （, ボーカル, ）, Saori, （, ピアノ, ）, DJ LOVE, （, DJ, ）"
2022,ミュージックステーションスーパーライブ,Saucy Dog,,,ロック,Group,"日本, 大阪府",,"石原慎也, （, ボーカル, ・, ギター, ）, 秋澤和貴（, ベース, ）, せとゆいか（, ドラムス, ・, コーラス, ）"
2022,ミュージックステーションスーパーライブ,Sexy Zone,,,J-POP,男性グループ,日本,,"佐藤勝利, 菊池風磨, 松島聡, 寺西拓人, 原嘉孝, 橋本将生, 猪俣周杜, 篠塚大輝"
2022,ミュージックステーションスーパーライブ,SixTONES,,,J-POP,男性グループ,日本,,"ジェシー, 京本大我, 松村北斗, 髙地優吾, 森本慎太郎, 田中樹"
2022,ミュージックステーションスーパーライブ,Snow Man,,,J-POP,男性グループ,日本,,"岩本照, 深澤辰哉, ラウール, 渡辺翔太, 向井康二, 阿部亮平, 目黒蓮, 宮舘涼太, 佐久間大介"
2022,ミュージックステーションスーパーライブ,Stray Kids,,,"K-POP, ポップラップ, EDM",Group,"韓国, ソウル特別市",,"バンチャン, リノ, チャンビン, ヒョンジン, ハン, フィリックス, スンミン, アイエン"
2022,ミュージックステーションスーパーライブ,Superfly,,,"J-POP, ロック",Group,"日本, 愛媛県, 松山市","蔦谷好位置, 多保孝一, 松岡モトキ","越智志帆, （, ボーカル, ）"
2022,ミュージックステーションスーパーライブ,THE RAMPAGE,,,"J-POP, 、, hip hop",Group,Liverpool,,
2022,ミュージックステーションスーパーライブ,Tani Yuuki,,,J-POP,maleソロ,"日本, 神奈川県, 茅ヶ崎市",,
2022,ミュージックステーションスーパーライブ,Travis Japan,,,J-POP,男性グループ,日本,Travis Payne,"宮近海斗, 中村海人, 七五三掛龍也, 川島如恵留, 吉澤閑也, 松田元太, 松倉海斗"
2022,ミュージックステーションスーパーライブ,YUKI,,,"J-POP, シンガーソングライター",femaleソロ,Hakodate,agehasprings玉井健二蔦谷好位置JUDY AND MARY前田佑,
2022,ミュージックステーションスーパーライブ,aiko,,,J-POP,femaleソロ,"日本, 大阪府, 吹田市","島田昌典, OSTER project, トオミヨウ",
2022,ミュージックステーションスーパーライブ,back number,,,"J-POP, ロック, ポップ・ロック",Group,"日本, 群馬県",,"清水依与吏, （, ボーカル, ・, ギター, ）, 小島和也, （, ベース, ・, コーラス, ）, 栗原寿, （, ドラムス, ）"
2022,ミュージックステーションスーパーライブ,milet,,,"J-POP, インディー・ポップ, オルタナティブ・ロック, エレクトロ・ポップ",femaleソロ,"日本, 東京都",,
2022,ミュージックステーションスーパーライブ,yama,,,"ポップス, ボカロ",ソロ,非公開,"くじら, TOOBOE, BIN",
2022,ミュージックステーションスーパーライブ,なにわ男子,,,J-POP,Group,日本,大倉忠義,"西畑大吾, 大西流星, 道枝駿佑, 高橋恭平, 長尾謙杜, 藤原丈一郎, 大橋和也"
2022,ミュージックステーションスーパーライブ,ゆず,,,"J-POP, アニメ, ロック",Group,Yokohama,,
2022,ミュージックステーションスーパーライブ,ウタ,,,"エレクトロニック, ロック",maleソロ,Kōchi,,
