artist,total_tv_appearances,spotify_popularity,youtube_hit_appearances,google_trends_score,cluster
森高千里,1,0.0,0.0,0.0,0
椎名林檎,7,11.0,0.0,23.202290076335878,0
椎名林檎ともも,1,0.0,0.0,0.48854961832061067,0
椎名林檎と松崎ナオ,1,0.0,0.0,0.3816793893129771,0
槇原敬之,2,23.0,0.0,0.0,0
橋本環奈、浜辺美波,1,0.0,0.0,3.9198473282442747,0
櫻井翔,1,39.0,0.0,0.0,0
櫻坂46,11,63.0,0.0,0.0,2
欅坂46,12,0.0,0.0,7.851145038167939,2
武田真治,1,23.0,0.0,0.0,0
氣志團,1,29.0,0.0,0.0,0
水森かおり,10,32.0,0.0,22.301526717557252,2
氷川きよし,9,44.0,0.0,14.950381679389313,2
池田エライザ,1,27.0,0.0,0.0,0
浜崎あゆみ,1,0.0,0.0,0.0,0
浜田ばみゅばみゅ,1,0.0,0.0,0.0,0
清塚信也,2,0.0,0.0,0.0,0
清水美依紗,2,0.0,0.0,0.0,0
渡辺直美,1,26.0,0.0,7.938931297709924,0
玉置浩二,2,53.0,0.0,0.0,1
瑛人,2,34.0,0.0,0.0,0
生田絵梨花,2,1.0,0.0,12.083969465648854,0
田島貴男（Original Love）,1,29.0,0.0,0.0,0
由薫,2,5.0,1.0,7.576335877862595,0
石丸幹二,2,2.0,0.0,17.790076335877863,0
石川さゆり,12,44.0,0.0,9.931297709923664,2
福山雅治,16,57.0,0.0,20.637404580152673,2
福田こうへい,2,0.0,0.0,25.202290076335878,0
秦基博,4,2.0,0.0,0.0,0
稲葉浩志,1,0.0,0.0,9.32824427480916,0
竹下景子・武田鉄矢・田中健・松崎しげる,1,0.0,0.0,0.4389312977099237,0
竹内まりや,1,0.0,0.0,12.763358778625955,0
竹原ピストル,1,1.0,0.0,19.84732824427481,0
篠原涼子,1,41.0,0.0,8.629770992366412,1
米津玄師,2,0.0,20.0,11.683206106870228,3
紅白出演者有志,3,0.0,0.0,0.3816793893129771,0
紅白有志の皆さん,1,0.0,0.0,0.3816793893129771,0
純烈,6,7.0,0.0,21.396946564885496,0
純烈（ダチョウ倶楽部・有吉弘行）,1,0.0,0.0,0.3816793893129771,0
細川たかし,3,38.0,0.0,6.706106870229007,1
絢香,3,56.0,0.0,26.16030534351145,1
緑黄色社会,8,0.0,0.0,0.0,0
美炎-BIEN-,1,10.0,0.0,0.0,0
美輪明宏,1,21.0,0.0,20.15267175572519,0
花*花,1,71.0,0.0,65.8473282442748,1
荻野目洋子,2,44.0,0.0,20.18320610687023,1
菅田将暉,3,0.0,0.0,0.0,0
薬師丸ひろ子,2,51.0,0.0,10.874045801526718,1
藤あや子,1,29.0,0.0,19.938931297709924,1
藤井フミヤ,1,46.0,0.0,15.561068702290076,1
藤井隆,1,39.0,0.0,25.603053435114504,1
藤井風,3,0.0,0.0,0.0,0
藤原さくら,1,43.0,0.0,15.0,1
西内まりや,2,0.0,0.0,0.0,0
西野カナ,14,66.0,0.0,10.320610687022901,2
豊原江理佳,1,1.0,0.0,3.286259541984733,0
近藤真彦,1,0.0,0.0,2.8893129770992365,0
郷ひろみ,11,48.0,0.0,15.717557251908397,2
鈴木雅之,4,54.0,0.0,0.0,1
関ジャニ∞,24,0.0,0.0,16.870229007633586,2
青山テルマ,1,0.0,0.0,9.145038167938932,0
香西かおり,1,37.0,0.0,31.297709923664122,1
高嶋ちさ子,1,32.0,0.0,0.0,0
高橋優,1,13.0,0.0,15.026717557251908,0
高橋洋子,2,54.0,0.0,8.19083969465649,1
髙橋真梨子,4,0.0,0.0,12.530534351145038,0
麻倉未稀,1,33.0,0.0,4.931297709923665,0
［Alexandros］,3,62.0,0.0,0.0,1
